会社,刊行間隔,題名,
DeAgostini,月刊,トランスフォーマー オプティマスプライムをつくる,映画『トランスフォーマー』（2007）に登場した オプティマスプライムを あなたの手で組み立てる！ 本シリーズでは金属パーツと ABSパーツを使って、サイバトロンの伝説的なヒーロー「オプティマスプライ
DeAgostini,週刊,SUBARU BRZ GT300,2021 Super GT GT300 Class シリーズチャンピオンマシンを あなたの手で組み立てよう!!
DeAgostini,隔週刊,日本の名馬・名勝負,日本競馬史上に残る名馬たちの蹄跡を DVDとマガジンで完全収録! 
DeAgostini,隔週刊,ワイルド・スピード カー コレクション,大スクリーンを疾走したあのキャストのあの車が、1/43スケールモデルになって大集合！コレクションする車は、各作品の名場面の記憶を呼び覚ます象徴的な車ばかり。
DeAgostini,隔週刊,あぶない刑事 DVDコレクション, TVシリーズ2作品、TVSP1作品、 劇場7作品を初のHDリマスター版で コレクション!  今シリーズでは、“あぶデカ”シリーズDVD初のHDリマスター版で本編が楽しめるほか、豪華特典映像も満載。 
DeAgostini,週刊,ホンダCB750FOUR再刊行版,圧倒的な完成度を誇る究極のディスプレイモデル  重厚感のある金属パーツ     ステンレス製のカットフェンダーやダイキャスト製のクランクケースなど、実車の質感を表現するために、金属パーツを多数使用。 
DeAgostini,週刊,エヴァンゲリオン初号機をつくる,マガジンとパーツで組み立てる 新劇場版の設定を徹底的に考証して立体化した圧倒的なクオリティの《エヴァ初号機》  キットに付いてくるドライバーと瞬間接着剤、そして毎号付属の塗装済みパーツでエヴァ初号機を
DeAgostini,隔週刊,ルパン三世 THE DVD コレクション,日本のアニメ史上を代表する作品［ルパン三世］。 初回放送から50年以上が経ったいまでも色褪せない驚きを放つ 作品のPART 1～Ⅲ、TVスペシャルから24作品を、全80号の 隔週刊［ルパン三世 THE
DeAgostini,隔週刊,決定版 日本の名城,文化遺産として、また観光スポットとして、近年ますます人気を高めている「日本の城」。 本シリーズではブームの火付け役となった「日本100名城」「続日本100名城」の全200名城を詳細に取り上げます。
DeAgostini,隔週刊,Gメン’75 DVDコレクション,DVDとマガジンで鮮烈によみがえる 刑事ドラマの永遠の金字塔  滑走路を並び行くGメンたちの印象的なオープニング、 他の刑事ドラマにはないハードなシナリオと切れ味の鋭い演出、 そして迫真の演技でドラマ
DeAgostini,隔週刊,鉄道車両金属モデルコレクション,高精度＆大型の先頭車模型と 詳細なマガジンで楽しむ あなただけの鉄道車両ミュージアム。  金属モデルの手応えを味わいながら、 尽きない物語に思いを馳せるー     日本各地の鉄路を駆けた時代時代の人気
