タイトル,タイトルURL1,画像URL
"
            
            
              
              かわいい刺しゅう
            
              
              2018年8月28日創刊
            
              
              2022年7月12日完結
            
            ",https://deagostini.jp/post/migrm-567,https://deagostini.jp/f/resources_news/archive/migrm_image_SSU_legend_item_img.jpg
"
            
            
              
              オーシャンアタック＆Co.ビッグ（全15種類）
            
              
              2022年3月15日発売
            
            ",https://deagostini.jp/post/archive-202406241522,https://deagostini.jp/f/resources/images/kids/oab/issue_1_1.jpg
"
            
            
              
              ストレッチーズ　ミュータント（全16種類）
            
              
              2021年12月14日発売
            
            ",https://deagostini.jp/post/archive-202406241516,https://deagostini.jp/f/resources/images/kids/smu/issue_101_1.jpg
"
            
            
              
              恐竜＆Co.ビッグ（全16種類）
            
              
              2021年6月18日発売
            
            ",https://deagostini.jp/post/archive-202406241502,https://deagostini.jp/f/resources/images/kids/krb/issue_1_1.jpg
"
            
            
              
              ロビ2
            
              
              2017年06月06日創刊
            
              
              2019年04月02日完結
            
            ",https://deagostini.jp/post/migrm-565,https://deagostini.jp/f/resources_news/archive/migrm_image_ROT_legend_item_img.jpg
"
            
            
              
              ロビ 第三版
            
              
              2015年01月20日創刊
            
              
              2016年06月21日完結
            
            ",https://deagostini.jp/post/migrm-564,https://deagostini.jp/f/resources_news/archive/migrm_image_RB3_legend_item_img.jpg
"
            
            
              
              ガンダム・モビルスーツ・バイブル
            
              
              2019年01月29日創刊
            
              
              2022年05月17日完結
            
            ",https://deagostini.jp/post/migrm-566,https://deagostini.jp/f/resources_news/archive/migrm_image_GMS_legend_item_img.jpg
"
            
            
              
              アイアンマン
            
              
              2020年08月18日創刊
            
              
              2022年07月19日完結
            
            ",https://deagostini.jp/post/migrm-559,https://deagostini.jp/f/resources_news/archive/migrm_image_AAM_legend_item_img.jpg
"
            
            
              
              ワイルド・スピード ダッジ・チャージャー R/T
            
              
              2020年02月25日創刊
            
              
              2022年04月19日完結
            
            ",https://deagostini.jp/post/migrm-557,https://deagostini.jp/f/resources_news/archive/migrm_image_DOD_legend_item_img.jpg
"
            
            
              
              サンダーバード秘密基地
            
              
              2020年01月14日創刊
            
              
              2022年03月08日完結
            
            ",https://deagostini.jp/post/migrm-560,https://deagostini.jp/f/resources_news/archive/migrm_image_TBH_legend_item_img.jpg
"
            
            
              
              ゴジラをつくる
            
              
              2019年08月27日創刊
            
              
              2021年08月10日完結
            
            ",https://deagostini.jp/post/migrm-554,https://deagostini.jp/f/resources_news/archive/migrm_image_GOT_legend_item_img.jpg
"
            
            
              
              日本刀
            
              
              2019年05月28日創刊
            
              
              2021年10月12日完結
            
            ",https://deagostini.jp/post/migrm-556,https://deagostini.jp/f/resources_news/archive/migrm_image_NDF_legend_item_img.jpg
"
            
            
              
              YAMAHA YZR-M1 バレンティーノ・ロッシ モデル
            
              
              2019年03月19日創刊
            
              
              2020年12月22日完結
            
            ",https://deagostini.jp/post/migrm-551,https://deagostini.jp/f/resources_news/archive/migrm_image_YZR_legend_item_img.jpg
