会社,題名,説明
DeAgostini,トランスフォーマー オプティマスプライムをつくる,映画『トランスフォーマー』（2007）に登場した オプティマスプライムを あなたの手で組み立てる！ 本シリーズでは金属パーツと ABSパーツを使って、サイバトロンの伝説的なヒーロー「オプティマスプライム」を組み立てていく。完全図解で分かりやすい組み立てガイドにより、映画に忠実なモデルを簡単に作成できる。
DeAgostini,SUBARU BRZ GT300,2021 Super GT GT300 Class シリーズチャンピオンマシンを あなたの手で組み立てよう!!
DeAgostini,日本の名馬・名勝負,日本競馬史上に残る名馬たちの蹄跡を DVDとマガジンで完全収録! 
DeAgostini,ワイルド・スピード カー コレクション,大スクリーンを疾走したあのキャストのあの車が、1/43スケールモデルになって大集合！コレクションする車は、各作品の名場面の記憶を呼び覚ます象徴的な車ばかり。
DeAgostini,あぶない刑事 DVDコレクション, TVシリーズ2作品、TVSP1作品、 劇場7作品を初のHDリマスター版で コレクション!  今シリーズでは、“あぶデカ”シリーズDVD初のHDリマスター版で本編が楽しめるほか、豪華特典映像も満載。 マガジンは出演者インタビューも複数掲載と、読み応え十分な一冊になっています。
DeAgostini,ホンダCB750FOUR再刊行版,圧倒的な完成度を誇る究極のディスプレイモデル  重厚感のある金属パーツ     ステンレス製のカットフェンダーやダイキャスト製のクランクケースなど、実車の質感を表現するために、金属パーツを多数使用。  実車を忠実に再現したエフェクト     ヘッドライトや左右ウインカー、ブレーキランプも点灯。各種エフェクトは、ディスプレイベースに配されたスイッチによって操作。  大迫力のエンジンサウンド     実車から採取したエンジン音は、ディスプレイベースに組み込まれた大口径スピーカーより実車さながらの迫力のサウンドが鳴り響く。 
DeAgostini,エヴァンゲリオン初号機をつくる,マガジンとパーツで組み立てる 新劇場版の設定を徹底的に考証して立体化した圧倒的なクオリティの《エヴァ初号機》  キットに付いてくるドライバーと瞬間接着剤、そして毎号付属の塗装済みパーツでエヴァ初号機を組み立てながら、豊富なコンテンツのマガジンも楽しめるシリーズ。初号機のボディにはメタルやプラスチックなどマルチマテリアルを採用することで、まるで劇中から飛び出してきたかのような質感や色味を再現。関節部は伸縮性のある軟質素材で覆い、多彩なポージングを可能にした唯一無二の本格スケールモデルが完成する。 
DeAgostini,ルパン三世 THE DVD コレクション,日本のアニメ史上を代表する作品［ルパン三世］。 初回放送から50年以上が経ったいまでも色褪せない驚きを放つ 作品のPART 1～Ⅲ、TVスペシャルから24作品を、全80号の 隔週刊［ルパン三世 THE DVDコレクション］としてお届けする。
DeAgostini,決定版 日本の名城,文化遺産として、また観光スポットとして、近年ますます人気を高めている「日本の城」。 本シリーズではブームの火付け役となった「日本100名城」「続日本100名城」の全200名城を詳細に取り上げます。
DeAgostini,Gメン’75 DVDコレクション,DVDとマガジンで鮮烈によみがえる 刑事ドラマの永遠の金字塔  滑走路を並び行くGメンたちの印象的なオープニング、 他の刑事ドラマにはないハードなシナリオと切れ味の鋭い演出、 そして迫真の演技でドラマに生命を吹き込んだ名優たち……。 1975（昭和50）年から82（昭和57）年まで延べ7年間にわたり放映されたテレビドラマ『GMEN’75』 は、現在でも色あせない輝きを放っている。
DeAgostini,鉄道車両金属モデルコレクション,高精度＆大型の先頭車模型と 詳細なマガジンで楽しむ あなただけの鉄道車両ミュージアム。  金属モデルの手応えを味わいながら、 尽きない物語に思いを馳せるー     日本各地の鉄路を駆けた時代時代の人気車両が集結。     JR各社の協力監修のもと、設計図面や実車取材に基づいて正確に模型化、専門家による綿密な検討を経て、型式や年式が選定されています。     モデル車両の知識と写真を満載した付属マガジンと併せ、     コレクションを充実させていくことができます。
DeAgostini,東宝怪獣コレクション,キングギドラ、メカゴジラ、ヘドラ、ガイガン、ラドン！作品と時代を超えて、怪獣たちをラインナップ！  昭和・平成の時代を通じて東宝が生み出し、人々を魅了してきた怪獣たち。 隔週刊『東宝怪獣コレクション』は、それらの怪獣たちが1／700統一スケールで勢ぞろいする、 これまでにはまったくなかったコンセプトのフィギュアシリーズだ。※シリーズは全100号を予定しています。
DeAgostini,ワイルド・スピード 日産スカイラインGT-R（R34）,"日産スカイラインGT-R（R34）はユニバーサル・ピクチャーズの『ワイルド・スピード』シリーズで、数あるカーアクションのなかでも最も印象的なシーンに登場する主役級の一台。スピードと卓越したパフォーマンスを楽しむために日本で生まれた大人気の""サラブレッド ""だ。"
DeAgostini,ブルーノート・ベスト・ジャズコレクション 高音質版,『BLUE NOTE best jazz collection』では毎号１人のアーティストを取り上げ て、その生き様や〈ブルーノート〉での活躍、〈ブルーノート〉の歴史を 紐解いていく。付属のCDは今までにないオリジナル・セレクションで、 すばらしい演奏の中から選りすぐりの楽曲５～７曲を収録している。
DeAgostini,JR全路線 DVDコレクション,駅や路線ヒストリーを解説する本誌と、貴重な撮り下ろし映像満載のDVDでお届けするDVD付きマガジン。  北海道から九州までのJR全路線を特集し、現存する車両だけでなく廃止された列車や、起点駅から終着駅までの走行シーンを順を追って楽しむことができる、貴重な映像がDVD収録されたコレクションです。
DeAgostini,HELLO KITTY なつかしのアイテムコレクション,"隔週刊 『HELLO KITTYなつかしのアイテムコレクション』 毎号、70年代から90年代の発売商品を再現したハローキティのアイテムが1つ付きます。  創刊号は、1975年に発売したハローキティのデビューアイテムの""""プチパース""""を再現したアイテムが付きます。その他の号ではアルミ製のお弁当箱やステーショナリーなど、おでかけやおうち時間にも便利なアイテムが登場予定です。当時触れ合っていた方には懐かしく、新たに知る方にも楽しんでコレクション頂けるシリーズです。"
DeAgostini,男はつらいよDVDコレクション,隔週刊「男はつらいよDVDコレクション」は、国民的人気作「男はつらいよ」全50作をコンプリートできるDVD付きマガジンです。DVDは映像も音もクリアな〈HDリマスター版〉を使用し、マガジンも盛りだくさんの内容でお届け！
DeAgostini,スター・ウォーズ スターシップ＆ビークル・コレクション,本シリーズでは、スター・デストロイヤーや戦艦などの大型軍用船に、 スターファイターや爆撃機、さらに貨物船や輸送機、シャトル機に加えて、 地上や危険地帯で活動するスターシップやビークルを紹介する。 映画作品だけでなく、実写ドラマシリーズ『マンダロリアン』やアニメシリーズ 『スター・ウォーズ／クローン・ウォーズ』に登場する戦車や輸送機から、 ランドスピーダーやスピーダー・バイクといったビークルも必見だ。
DeAgostini,アメリカンカー コレクション,古き良き憧れのアメ車がここに集結! ダイキャスト製ミニチュアコレクション 1960~1970年代を中心とした憧れのアメ車たち全80種を、1/43スケールでリアルに再現したダイキャスト製ミニチュアでコレクションすることができる、隔週刊『アメリカンカー コレクション』  毎号お届けするコレクションには、背景やスペックが描かれた専用ディスプレイケースが付属し、飾りながらコレクションすることができます。
